CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
193,Female,38,45000,91,Artist,10,4
194,Female,47,8000,16,Artist,7,2
195,Female,35,46000,79,Executive,1,3
196,Female,45,78000,28,Artist,0,2
197,Male,32,4000,74,Artist,1,5
198,Male,32,81000,18,Executive,1,2
199,Male,30,33000,83,Artist,4,2
200,Female,21,40000,10,Healthcare,0,3
201,Male,34,85000,16,Healthcare,9,3
202,Female,16,60000,0,Engineer,6,8
203,Female,76,60000,39,Healthcare,4,2
204,Female,62,63000,59,Entertainment,0,2
205,Female,63,10000,52,Healthcare,8,3
206,Female,19,55000,61,Healthcare,0,3
207,Male,46,93000,12,Artist,2,1
208,Female,48,15000,7,Doctor,0,2
209,Female,80,39000,33,Engineer,9,4
210,Female,1,57000,93,Engineer,1,2
211,Female,0,22000,92,Artist,2,1
212,Male,86,12000,70,Marketing,2,4
213,Male,49,50000,82,Lawyer,8,1
214,Male,48,95000,68,Doctor,2,4
215,Female,46,66000,70,Healthcare,3,3
216,Male,79,20000,40,Doctor,6,2
217,Female,83,35000,99,Doctor,8,2
218,Female,66,71000,34,Executive,9,2
219,Female,59,76000,61,,9,1
220,Female,39,84000,33,Artist,5,3
221,Female,95,72000,51,Engineer,4,2
222,Male,43,33000,55,Artist,4,3
223,Female,93,93000,37,Healthcare,1,5
224,Female,40,83000,48,Homemaker,4,1
225,Female,78,23000,8,Engineer,1,1
226,Female,25,40000,77,Artist,5,4
227,Male,76,89000,86,Healthcare,9,4
228,Male,0,33000,64,Marketing,1,1
229,Male,15,94000,30,Healthcare,7,2
230,Female,6,93000,53,Lawyer,8,2
231,Male,84,7000,28,Healthcare,0,4
232,Female,67,18000,88,Lawyer,0,2
233,Female,78,3000,14,Healthcare,0,4
234,Female,4,84000,54,Artist,9,1
235,Female,29,62000,34,Healthcare,0,4
236,Male,91,9000,96,Healthcare,1,5
237,Male,95,36000,35,,0,4
238,Male,55,37000,74,Lawyer,1,4
239,Female,14,50000,11,Artist,1,2
240,Male,92,83000,16,Executive,1,5
241,Female,65,79000,17,Artist,0,3
242,Female,84,40000,14,Healthcare,1,4
243,Female,77,47000,58,Artist,0,6
244,Female,53,4000,20,Artist,0,4
245,Female,28,38000,75,Entertainment,7,2
246,Male,23,0,96,Doctor,1,3
247,Female,32,7000,16,Artist,1,2
248,Female,37,41000,2,Artist,1,2
249,Female,89,65000,0,Engineer,0,5
250,Male,80,20000,93,Engineer,1,3
251,Female,27,44000,65,Doctor,8,1
252,Female,78,3000,14,Artist,5,4
253,Female,86,72000,13,Lawyer,7,3
254,Female,46,27000,32,Engineer,4,4
255,Male,59,85000,49,Lawyer,4,2
256,Male,12,38000,18,Executive,10,1
257,Male,79,73000,96,Homemaker,6,7
258,Female,79,64000,64,Artist,2,3
259,Male,26,26000,60,Executive,6,4
260,Female,63,47000,16,Artist,2,3
261,Female,52,35000,85,Doctor,2,6
262,Female,32,31000,24,Lawyer,2,3
263,Female,64,13000,38,Engineer,3,4
264,Female,37,79000,10,Homemaker,1,7
265,Male,7,82000,39,Entertainment,2,2
266,Female,40,28000,68,Artist,1,1
267,Female,78,36000,79,Artist,0,3
268,Female,34,8000,76,Entertainment,6,6
269,Female,52,88000,39,Artist,1,2
270,Male,94,91000,36,Entertainment,0,4
271,Female,1,12000,82,Doctor,0,3
272,Female,96,1000,76,Entertainment,0,3
273,Female,18,143000,99,Artist,0,2
274,Female,37,18000,57,Artist,1,2
275,Male,78,65000,89,Lawyer,1,2
276,Male,16,9000,88,Executive,7,4
277,Male,93,95000,21,Artist,1,1
278,Female,74,78000,12,Engineer,9,3
279,Male,68,48000,73,Healthcare,3,3
280,Female,32,63000,87,Executive,1,4
281,Female,43,85000,63,Marketing,1,2
282,Female,52,43000,58,Artist,1,3
283,Female,63,74000,20,Artist,1,2
284,Female,33,67000,11,Healthcare,0,1
285,Male,86,59000,40,Artist,0,1
286,Female,85,140000,84,Entertainment,1,1
287,Female,73,31000,47,Healthcare,1,2
288,Female,21,5000,91,Marketing,0,1
289,Female,93,19000,58,Engineer,1,3
290,Male,9,27000,62,Entertainment,7,1
291,Female,10,68000,80,Doctor,6,3
292,Male,11,38000,66,Artist,8,8
293,Female,48,50000,36,Engineer,6,4
294,Female,73,80000,73,Entertainment,2,2
295,Female,66,69000,43,Executive,9,3
296,Female,79,31000,91,Engineer,3,3
297,Male,62,87000,41,Doctor,6,2
298,Male,17,79000,16,Artist,1,3
299,Male,32,32000,86,Entertainment,5,2
300,Male,85,153787,100,Entertainment,3,3
301,Male,31,95851,16,Healthcare,5,2
302,Female,31,145015,73,Healthcare,6,3
303,Female,38,148539,7,Healthcare,5,2
304,Female,90,117319,21,Lawyer,1,2
305,Female,65,180243,26,Marketing,6,2
306,Female,63,165052,12,Artist,4,2
307,Female,61,120487,14,Doctor,0,2
308,Male,26,112766,83,Engineer,8,4
309,Female,17,156488,65,Engineer,1,4
310,Male,56,97562,15,Executive,5,6
311,Female,12,77501,30,Engineer,5,4
312,Female,24,118302,100,Lawyer,5,1
313,Female,13,64277,9,Executive,9,4
314,Male,12,53927,77,Doctor,2,3
315,Male,72,93921,93,Lawyer,9,2
316,Female,54,132046,8,Homemaker,4,4
317,Male,45,183217,91,Artist,7,2
318,Male,66,182937,44,Marketing,8,1
319,Female,27,68272,56,Healthcare,8,4
320,Male,36,69841,21,Engineer,10,2
321,Male,5,69078,60,Lawyer,13,1
322,Female,89,110667,100,Healthcare,2,4
323,Male,13,95469,94,Doctor,6,1
324,Female,91,102861,40,Artist,4,1
325,Male,16,133551,7,Artist,3,1
326,Female,63,64589,90,Engineer,7,1
327,Male,52,152755,39,Engineer,4,2
328,Female,37,92313,58,Healthcare,1,5
329,Female,78,98922,2,Artist,2,3
330,Male,24,165846,33,Engineer,0,4
331,Female,4,93713,62,Engineer,3,4
332,Male,84,137641,67,Healthcare,0,5
333,Male,0,173743,96,Artist,0,4
334,Female,67,116126,58,Entertainment,10,2
335,Female,32,112246,30,Healthcare,8,3
336,Female,39,69384,75,Healthcare,1,5
337,Female,68,76529,62,Healthcare,0,2
338,Female,7,123804,28,Doctor,14,1
339,Female,76,68292,55,Artist,8,2
340,Female,84,173185,99,Artist,3,1
341,Male,75,142034,82,Entertainment,1,4
342,Male,22,107941,61,Artist,0,1
343,Female,90,149840,61,Engineer,1,1
344,Female,4,148431,99,Healthcare,1,8
345,Female,78,126599,84,Lawyer,0,3
346,Female,58,57180,22,Healthcare,9,1
347,Female,99,184426,41,Artist,9,1
348,Female,24,151085,39,Marketing,2,5
349,Female,88,166107,98,Artist,13,4
350,Female,92,67850,91,Artist,9,4
351,Male,99,173394,4,Engineer,13,1
352,Female,51,72303,98,Lawyer,7,1
353,Male,23,181760,35,Healthcare,14,3
354,Female,13,146858,75,Doctor,9,1
355,Male,22,172923,20,Engineer,6,1
356,Female,89,115811,87,Homemaker,11,4
357,Male,20,184324,51,Marketing,13,5
358,Female,72,67353,19,Lawyer,9,3
359,Male,17,165999,71,Healthcare,9,3
360,Male,90,164914,18,Artist,8,3
361,Male,99,63364,61,Entertainment,1,2
362,Female,39,182352,73,Engineer,4,3
363,Female,37,148544,56,Entertainment,1,2
364,Male,46,62833,85,Artist,1,2
365,Male,65,120627,72,Healthcare,0,2
366,Female,60,130898,30,Artist,1,1
367,Female,93,103130,74,Executive,12,3
368,Male,72,106681,15,Healthcare,9,5
369,Female,36,87353,25,Entertainment,1,5
370,Male,52,88046,61,Artist,8,1
371,Female,72,98168,49,Entertainment,1,2
372,Female,28,178265,5,Lawyer,2,1
373,Female,48,167232,92,Doctor,6,4
374,Male,85,140478,43,Doctor,6,4
375,Male,22,159296,83,Artist,8,1
376,Female,30,144043,78,Doctor,1,1
377,Male,46,72594,64,Artist,1,2
378,Female,82,180288,77,Artist,2,2
379,Female,73,165734,51,Entertainment,0,1
380,Male,8,175407,2,Artist,5,1
381,Male,90,70201,8,Engineer,0,2
382,Male,34,91503,26,Artist,0,6
383,Female,10,184522,43,Artist,0,2
384,Female,79,143560,83,Artist,1,3
385,Male,83,131574,97,Artist,1,2
386,Female,20,151124,18,Artist,15,3
387,Female,25,67447,5,Artist,15,2
388,Female,26,117454,8,Healthcare,16,2
389,Female,18,86203,23,Doctor,13,1
390,Female,7,136231,10,Artist,7,1
391,Male,1,89144,1,Doctor,12,2
392,Male,21,119116,30,Artist,17,4
393,Female,86,163463,31,Artist,9,4
394,Female,75,151696,82,Artist,15,1
395,Male,78,184736,52,Lawyer,13,1
396,Female,87,70419,69,Homemaker,6,4
397,Female,8,119104,41,Entertainment,14,3
398,Male,59,130950,28,Executive,5,3
399,Male,13,140950,77,Artist,15,2
400,Female,55,82285,35,Engineer,16,1
401,Female,50,91389,92,Healthcare,11,7
402,Male,54,186359,95,Doctor,13,2
403,Male,13,178989,46,Doctor,14,3
404,Male,79,166335,45,Engineer,5,5
405,Female,65,119889,11,Artist,17,6
406,Female,51,66852,73,Executive,15,3
407,Male,18,103896,36,Executive,16,4
408,Male,21,187761,87,Healthcare,2,3
409,Male,37,102717,93,Healthcare,7,4
410,Male,83,102647,83,Entertainment,0,2
411,Female,96,113585,31,Lawyer,0,4
412,Female,65,86509,88,Artist,0,4
413,Male,80,59099,44,Marketing,1,7
414,Female,75,135088,5,Lawyer,1,5
415,Female,87,110870,78,Engineer,1,4
416,Female,86,187667,12,Artist,0,1
417,Female,36,124614,25,Artist,8,5
418,Female,78,166492,40,Homemaker,9,7
419,Female,62,172758,69,Entertainment,1,2
420,Male,89,122430,19,Healthcare,1,1
421,Female,56,183540,96,Entertainment,0,6
422,Female,35,96484,34,Artist,5,4
423,Male,33,112587,71,Artist,1,4
424,Female,58,155672,71,Entertainment,7,7
425,Female,68,72847,93,Artist,1,2
426,Male,38,71897,32,Entertainment,2,3
427,Male,31,158479,57,Doctor,1,5
428,Male,90,89251,4,Entertainment,1,1
429,Male,28,179911,24,Engineer,1,1
430,Male,1,111558,85,Healthcare,7,4
431,Male,78,127615,78,Executive,10,7
432,Female,23,50076,32,Artist,3,5
433,Female,25,77779,62,Artist,4,1
434,Male,59,169999,38,Engineer,5,5
435,Female,7,106581,76,Doctor,1,7
436,Female,24,78223,41,Lawyer,0,1
437,Male,76,136259,14,,0,7
438,Male,37,153399,93,Entertainment,1,6
439,Female,6,162858,91,Artist,0,1
440,Female,0,57373,29,,0,7
441,Male,3,133602,47,Artist,1,1
442,Female,95,66322,88,Artist,0,3
443,Female,0,68761,16,Lawyer,1,4
444,Male,7,70749,86,Artist,13,3
445,Male,54,65874,87,Artist,7,6
446,Male,89,115996,24,Engineer,15,1
447,Female,58,67097,91,Engineer,6,1
448,Female,12,108027,64,Artist,13,5
449,Male,7,176349,80,Healthcare,8,2
450,Male,11,88452,40,Healthcare,8,6
451,Male,74,128266,55,Engineer,7,4
452,Female,64,156777,20,Healthcare,7,2
453,Female,48,123234,50,Lawyer,10,7
454,Female,8,60790,38,Artist,1,5
455,Female,15,181332,99,Artist,14,6
456,Male,1,187297,7,Artist,0,1
457,Female,21,153885,86,Artist,6,6
458,Male,84,53500,44,Marketing,3,4
459,Female,5,69443,28,Doctor,4,6
460,Female,47,124072,56,Lawyer,0,7
461,Female,96,135800,29,Healthcare,0,7
462,Male,93,120597,96,Artist,2,4
463,Female,16,91358,11,Entertainment,1,4
464,Male,56,53231,41,Marketing,0,5
465,Female,76,156330,31,Engineer,1,2
466,Male,0,186002,80,Doctor,15,2
467,Female,70,111760,53,Executive,12,5
468,Female,47,143906,12,Artist,4,3
469,Male,13,182410,22,Healthcare,11,4
470,Male,86,98463,46,Homemaker,10,5
471,Male,91,93762,28,Artist,15,7
472,Male,97,104582,50,Healthcare,8,2
473,Male,20,130813,92,Artist,17,5
474,Female,11,59202,92,Healthcare,5,4
475,Female,28,79968,45,Lawyer,9,2
476,Male,32,104824,42,Artist,0,7
477,Male,82,188719,30,Lawyer,0,6
478,Male,39,187536,66,Healthcare,3,6
479,Male,7,134008,85,Entertainment,2,1
480,Female,13,176397,71,Artist,6,3
481,Female,34,154888,43,Healthcare,9,6
482,Male,76,155622,81,Healthcare,0,2
483,Female,30,62330,60,Healthcare,1,1
484,Female,69,112838,34,Healthcare,1,7
485,Male,22,58283,59,Homemaker,2,4
486,Female,60,77857,81,Artist,1,6
487,Male,66,125024,25,Artist,0,1
488,Female,57,136242,34,Artist,9,1
489,Female,60,81934,81,Healthcare,1,4
490,Female,59,130511,97,Artist,3,4
491,Female,54,144502,88,Lawyer,3,1
492,Male,90,63769,6,Artist,4,2
493,Female,14,66760,20,Artist,0,4
494,Female,34,135115,54,Entertainment,1,7
495,Female,85,179877,17,Healthcare,12,4
496,Female,83,93351,65,Doctor,1,1
497,Male,12,84547,96,Homemaker,3,3
498,Male,95,121725,3,,12,3
499,Male,41,65723,91,Artist,6,7
500,Female,38,96794,96,Healthcare,6,3
501,Male,68,72352,61,Healthcare,8,5
502,Female,4,53097,21,Healthcare,0,7
503,Female,5,144831,17,Artist,1,3
504,Female,3,183851,10,Doctor,1,2
505,Female,20,111896,90,Executive,1,3
506,Female,3,64824,30,Executive,1,1
507,Male,36,88565,16,Healthcare,1,5
508,Female,70,104974,63,Artist,1,1
509,Female,17,167060,47,Artist,1,5
510,Female,31,69018,17,Artist,6,1
511,Female,48,174109,96,Entertainment,0,1
512,Male,28,62186,29,Marketing,0,1
513,Male,97,183783,70,Healthcare,9,3
514,Male,81,83771,1,Artist,1,2
515,Female,37,148196,91,Artist,0,2
516,Male,85,131742,87,Entertainment,1,1
517,Female,78,59971,94,Homemaker,14,7
518,Female,13,88960,2,Entertainment,13,3
519,Female,53,140107,38,Healthcare,1,5
520,Female,41,161896,49,Entertainment,1,3
521,Female,9,57272,60,Engineer,1,1
522,Male,20,119952,2,Healthcare,8,2
523,Female,98,167197,63,Doctor,1,5
524,Female,44,186116,2,Healthcare,8,6
525,Female,66,134677,59,Healthcare,15,5
526,Female,58,180479,74,Healthcare,0,3
527,Male,97,112783,21,Artist,9,6
528,Male,13,150258,17,Doctor,0,3
529,Male,48,115832,92,Artist,2,2
530,Female,47,104834,44,Artist,0,7
531,Male,93,152571,66,Doctor,14,5
532,Female,11,162287,45,Engineer,3,2
533,Female,68,171761,59,Doctor,1,6
534,Female,87,77709,73,Artist,0,1
535,Female,22,95053,17,Entertainment,1,2
536,Male,89,74820,33,Doctor,1,2
537,Male,57,152267,92,Engineer,9,5
538,Male,91,71925,14,Artist,4,2
539,Female,84,151340,95,Artist,1,7
540,Male,56,162921,51,Executive,0,4
541,Female,26,52234,30,Executive,1,2
542,Female,56,100271,87,Artist,1,5
543,Female,6,170266,23,Artist,3,2
544,Female,33,88763,1,Entertainment,1,1
545,Female,89,107359,26,,10,6
546,Male,99,164781,83,Engineer,0,2
547,Female,25,156016,85,Artist,2,1
548,Female,96,186882,40,Entertainment,1,7
549,Female,35,99300,88,Homemaker,5,2
550,Male,16,58127,65,Marketing,0,3
551,Female,81,89211,12,Doctor,1,7
552,Female,7,148607,59,Homemaker,1,7
553,Female,31,139592,62,Marketing,1,1
554,Female,16,172051,62,Healthcare,1,3
555,Male,89,57033,99,Artist,0,4
556,Male,84,117612,63,Engineer,0,6
557,Male,40,185321,96,Artist,0,7
558,Female,17,186577,5,Healthcare,8,5
559,Male,0,151298,89,Artist,0,6
560,Female,69,123925,52,Artist,1,7
561,Female,17,169496,12,Lawyer,11,6
562,Female,0,142892,25,Entertainment,8,1
563,Female,34,58979,3,Entertainment,9,5
564,Female,51,141416,100,Healthcare,15,1
565,Male,54,104854,67,Healthcare,1,7
566,Female,19,180331,14,Artist,17,5
567,Female,99,172896,13,Engineer,0,3
568,Female,2,101451,82,Healthcare,4,3
569,Female,91,189974,37,Engineer,8,1
570,Male,65,90084,65,Artist,1,6
571,Female,47,112247,24,Executive,4,5
572,Female,91,181775,61,Artist,4,5
573,Female,64,59088,31,Artist,1,3
574,Female,91,60856,23,Artist,1,6
575,Male,32,149900,34,Artist,6,3
576,Male,15,142776,98,Engineer,8,5
577,Male,22,162598,84,Artist,8,3
578,Female,37,146195,89,Healthcare,4,4
579,Male,83,135268,53,Lawyer,4,5
580,Female,89,136037,1,Marketing,5,1
581,Female,33,111191,67,Artist,9,4
582,Female,13,144111,62,Entertainment,12,5
583,Female,71,177359,56,Doctor,6,2
584,Female,10,112818,85,Marketing,15,7
585,Male,49,53509,98,Artist,5,4
586,Female,9,168269,75,Executive,10,2
587,Female,53,86766,2,Lawyer,16,3
588,Female,63,52661,25,Healthcare,12,5
589,Female,46,148520,14,Healthcare,11,5
590,Male,42,149936,52,Artist,15,3
591,Female,73,102296,31,Entertainment,7,5
592,Male,75,178416,16,Executive,10,7
593,Female,49,83788,41,Doctor,15,1
594,Female,96,184771,77,Engineer,8,5
595,Female,52,70302,88,Executive,14,3
596,Female,15,58639,51,Entertainment,5,7
597,Male,91,97879,40,Entertainment,15,7
598,Male,22,64707,29,Entertainment,7,3
599,Male,62,71795,87,Healthcare,8,1
600,Male,41,76567,85,Doctor,16,1
601,Male,61,126370,20,,11,4
602,Female,71,154007,32,Artist,7,7
603,Female,91,69720,78,Lawyer,17,6
604,Female,94,85265,68,Executive,7,6
605,Female,3,155864,31,Healthcare,13,3
606,Female,15,99421,72,Artist,8,7
607,Female,96,145457,57,Executive,2,1
608,Male,12,118041,77,Artist,9,2
609,Female,23,73759,83,Doctor,0,7
610,Male,94,90082,17,Artist,5,7
611,Female,7,74928,12,Artist,0,6
612,Female,74,101352,36,Lawyer,0,5
613,Female,52,93947,81,Healthcare,9,2
614,Male,39,134629,23,Engineer,1,6
615,Male,72,101858,70,Healthcare,8,6
616,Female,55,165501,47,Artist,10,4
617,Male,29,135931,74,Lawyer,5,1
618,Male,38,103356,20,Marketing,1,6
619,Female,44,75195,79,Artist,1,3
620,Male,58,123083,44,Entertainment,6,5
621,Male,77,73884,30,Healthcare,1,2
622,Female,56,91180,61,Entertainment,1,7
623,Male,79,86235,52,Artist,0,2
624,Female,97,96400,4,Doctor,1,7
625,Male,78,83599,12,Healthcare,1,6
626,Female,91,82535,50,Healthcare,0,1
627,Male,35,92227,8,Lawyer,0,5
628,Female,43,150444,27,Artist,13,4
629,Female,37,149095,83,Lawyer,1,2
630,Male,63,113605,42,Artist,3,3
631,Female,16,93854,82,Healthcare,0,7
632,Male,32,118280,92,Artist,0,5
633,Male,91,94576,90,Artist,0,1
634,Female,33,129257,70,Executive,6,3
635,Female,57,70373,10,Healthcare,2,6
636,Female,43,77600,66,Healthcare,0,1
637,Female,26,113707,97,Entertainment,0,5
638,Female,59,189672,8,Doctor,0,7
639,Female,61,143180,58,Artist,0,5
640,Female,59,174890,14,Marketing,3,4
641,Male,66,121377,19,,7,7
642,Male,26,154857,13,Healthcare,0,7
643,Female,67,160945,51,Healthcare,0,5
644,Female,85,119557,35,Artist,0,2
645,Female,76,187141,33,Doctor,0,7
646,Female,57,97468,22,Artist,0,1
647,Female,77,160351,77,Lawyer,8,5
648,Female,66,178627,94,Healthcare,1,2
649,Female,49,170188,80,Lawyer,1,6
650,Female,36,166007,40,Doctor,1,4
651,Male,74,91794,83,Entertainment,0,7
652,Female,16,189072,86,Artist,6,3
653,Male,27,152717,15,Executive,1,6
654,Female,3,158549,98,Executive,0,3
655,Male,31,134263,94,Marketing,1,3
656,Female,30,148236,28,Executive,1,1
657,Male,94,171677,81,Artist,0,6
658,Female,31,189446,38,Artist,1,6
659,Male,49,106633,53,Artist,0,3
660,Male,49,81084,48,Executive,6,5
661,Male,53,148759,52,Doctor,7,7
662,Female,3,117638,95,Healthcare,2,7
663,Female,91,159537,37,Doctor,4,1
